timestamp,paper,node_id,task_id,git_commit,domain,status,summary,evidence,equation_labels,concept_advance,predecessors,paper_anchor,notes
2026-06-12T01:02:22.915705+00:00,arxiv-2007.01339,S0-import-2007.01339,eq-dag-stage0,9a25e15,symbolic,solid,"Stage-0 source import: arXiv:2007.01339 LaTeX e-print fetched, unpacked, checksummed under ref-paper/arxiv-2007.01339/",ref-paper/arxiv-2007.01339/PROVENANCE.md,,False,,whole paper,single-known-source fast path; structure_check OK; iteration 1
2026-06-12T01:20:31.747208+00:00,arxiv-2007.01339,eq:BondiSachsMetric,eq-dag-stage1-2007.01339,9a25e15,symbolic,solid,Bondi-Sachs form of the asymptotically flat metric in null spherical coordinates,ref-paper/arxiv-2007.01339/src/characteristic_formulation.tex + reformulate/z4c-CMM/paper_2007.01339/derivation.md,"[""eq:BondiSachsMetric""]",,[],sec:bondi_sachs,"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:20:31.799876+00:00,arxiv-2007.01339,eq:auto-1,eq-dag-stage1-2007.01339,9a25e15,symbolic,solid,Determinant gauge condition det(h_AB)=det(q_AB) making r areal,ref-paper/arxiv-2007.01339/src/characteristic_formulation.tex + reformulate/z4c-CMM/paper_2007.01339/derivation.md,"[""eq:auto-1""]",,"[""eq:BondiSachsMetric""]",sec:bondi_sachs,"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:20:31.853868+00:00,arxiv-2007.01339,eq:auto-2,eq-dag-stage1-2007.01339,9a25e15,symbolic,solid,Bondi-Sachs asymptotic Minkowski falloff rates (eq:BondiSachsFalloffs group),ref-paper/arxiv-2007.01339/src/characteristic_formulation.tex + reformulate/z4c-CMM/paper_2007.01339/derivation.md,"[""eq:auto-2""]",,"[""eq:BondiSachsMetric""]",sec:bondi_sachs,"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:20:31.908649+00:00,arxiv-2007.01339,eq:BondiLikeMetric,eq-dag-stage1-2007.01339,9a25e15,symbolic,solid,Bondi-like metric: same local form as Bondi-Sachs without falloff restrictions,ref-paper/arxiv-2007.01339/src/characteristic_formulation.tex + reformulate/z4c-CMM/paper_2007.01339/derivation.md,"[""eq:BondiLikeMetric""]",,"[""eq:BondiSachsMetric""]",sec:bondi_sachs,"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:20:31.962169+00:00,arxiv-2007.01339,eq:auto-3,eq-dag-stage1-2007.01339,9a25e15,symbolic,solid,Relaxed Bondi-like asymptotics: all components merely finite at scri+ (eq:BondiLikeFalloff group),ref-paper/arxiv-2007.01339/src/characteristic_formulation.tex + reformulate/z4c-CMM/paper_2007.01339/derivation.md,"[""eq:auto-3""]",,"[""eq:BondiLikeMetric""]",sec:bondi_sachs,"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:20:32.018561+00:00,arxiv-2007.01339,eq:auto-4,eq-dag-stage1-2007.01339,9a25e15,symbolic,solid,Unit-sphere metric decomposition in complex dyad q^A with q^A qbar_A = 2,ref-paper/arxiv-2007.01339/src/characteristic_formulation.tex + reformulate/z4c-CMM/paper_2007.01339/derivation.md,"[""eq:auto-4""]",,[],sec:bondi_sachs,"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:20:32.078279+00:00,arxiv-2007.01339,eq:ComplexDyadChoice,eq-dag-stage1-2007.01339,9a25e15,symbolic,solid,"Explicit dyad choice q^A = {-1, -i/sin(theta)}",ref-paper/arxiv-2007.01339/src/characteristic_formulation.tex + reformulate/z4c-CMM/paper_2007.01339/derivation.md,"[""eq:ComplexDyadChoice""]",,"[""eq:auto-4""]",sec:bondi_sachs,"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:20:32.131769+00:00,arxiv-2007.01339,eq:DyadRotation,eq-dag-stage1-2007.01339,9a25e15,symbolic,solid,In-plane dyad rotation defining spin rotations,ref-paper/arxiv-2007.01339/src/characteristic_formulation.tex + reformulate/z4c-CMM/paper_2007.01339/derivation.md,"[""eq:DyadRotation""]",,"[""eq:auto-4""]",sec:bondi_sachs,"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:20:32.183767+00:00,arxiv-2007.01339,eq:auto-5,eq-dag-stage1-2007.01339,9a25e15,symbolic,solid,Spin-weight-s transformation law v -> v e^{is psi},ref-paper/arxiv-2007.01339/src/characteristic_formulation.tex + reformulate/z4c-CMM/paper_2007.01339/derivation.md,"[""eq:auto-5""]",,"[""eq:DyadRotation""]",sec:bondi_sachs,"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:20:32.233221+00:00,arxiv-2007.01339,eq:QDef,eq-dag-stage1-2007.01339,9a25e15,symbolic,solid,Definition Q = r^2 e^{-2beta} q^A h_AB dr U^B (spin-weight-1 auxiliary),ref-paper/arxiv-2007.01339/src/characteristic_formulation.tex + reformulate/z4c-CMM/paper_2007.01339/derivation.md,"[""eq:QDef""]",,"[""eq:BondiLikeMetric"", ""eq:auto-4""]",sec:bondi_sachs,"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:20:32.283206+00:00,arxiv-2007.01339,WDef,eq-dag-stage1-2007.01339,9a25e15,symbolic,solid,Definition r^2 W = V - r (spin-weight-0 mass-aspect variable),ref-paper/arxiv-2007.01339/src/characteristic_formulation.tex + reformulate/z4c-CMM/paper_2007.01339/derivation.md,"[""WDef""]",,"[""eq:BondiLikeMetric""]",sec:bondi_sachs,"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
2026-06-12T01:20:32.333086+00:00,arxiv-2007.01339,eq:KDef,eq-dag-stage1-2007.01339,9a25e15,symbolic,solid,Definition K = (1/2) q^A qbar^B h_AB fixed by determinant condition (sqrt(1+J Jbar) as used),ref-paper/arxiv-2007.01339/src/characteristic_formulation.tex + reformulate/z4c-CMM/paper_2007.01339/derivation.md,"[""eq:KDef""]",,"[""eq:BondiLikeMetric"", ""eq:auto-4"", ""eq:auto-1""]",sec:bondi_sachs,"literature-grounded transcription; evidence type: citation/transcription, not independent derivation"
